,genres,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
36515,"[{'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",http://padnajouhartfilm.co.za,tt2988490,af,Pad Na Jou Hart,"Basson has five days to make it to his father's funeral in Cape Town, but needs to complete certain tasks on this trip before he can call the family company his own. On the road he meets free-spirited bohemian girl, Amory. As they journey across the breathtaking landscape of South Africa, they meet wonderful characters that allow for hilarious moments and life-changing experiences. Their trip takes a sudden turn for the worst when a villainous figure makes an appearance. Basson and Amory are faced with disappointment and heartache. On the road called life, it is inevitable that you will take some wrong turns. But no matter how hard the road might be, on route to true love is where you will find your true north.",0.501787,/xOI9xhg4YChWddLL9GzRxUSNZe3.jpg,"[{'name': 'The Film Factory', 'id': 3707}]","[{'iso_3166_1': 'ZA', 'name': 'South Africa'}]",14/2/2014,0,112,"[{'iso_639_1': 'af', 'name': 'Afrikaans'}]",Released,True love is where you will find your true north,Road to Your Heart,FALSE,5.5,6
7935,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,tt0040491,en,Joan of Arc,"In the Fifteenth Century, France is a defeated and ruined nation after the One Hundred Years War against England. The fourteen years old farm girl Joan of Arc claims to hear voices from Heaven asking her to lead God's Army against Orleans and crowning the weak Dauphin Charles VII as King of France. Joan gathers the people with her faith, forms an army and conquerors Orleans. When her army is ready to attack Paris, the corrupt Charles sells his country to England and dismiss the army. Joan is arrested, sold to the Burgundians England and submitted to a shameful political trial in Rouen castle.",1.083596,/7S6CfKvvTNJ1S8pLbYq7w8wpqFf.jpg,"[{'name': 'Walter Wanger Productions', 'id': 10096}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",22/12/1948,0,145,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Greatest of all spectacles!,Joan of Arc,FALSE,6.4,11
40227,"[{'id': 28, 'name': 'Action'}, {'id': 10752, 'name': 'War'}]",,tt5344794,en,Sniper: Special Ops,"A Special Ops military Force, led by expert sniper Sergeant Jake Chandler, are sent to a remote Afghan village to extract an American congressman being held by the Taliban.",3.88813,/xOQwXYnnl5E5tTuGUTvCX3OIq2B.jpg,"[{'name': 'Steamroller Productions', 'id': 3495}, {'name': 'Hybrid', 'id': 7119}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/4/2016,0,84,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He's watching your six.,Sniper: Special Ops,FALSE,5,25
42095,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",,tt4353996,no,Kongens nei,"On 9 April 1940, German soldiers arrive in the city of Oslo. The King of Norway faces a choice that will change his country forever.  The King's Choice is a story about the three most dramatic days in Norway's history, the royal family's escape and King Haakon's difficult choice after Nazi Germany's invasion of Norway.",1.176258,/9NNxwavpQoaBTt696o0QHKoUM7g.jpg,"[{'name': 'Film i Väst', 'id': 6417}, {'name': 'Newgrange Pictures', 'id': 16076}, {'name': 'Paradox Film', 'id': 59365}]","[{'iso_3166_1': 'NO', 'name': 'Norway'}]",29/9/2016,9100000,133,"[{'iso_639_1': 'no', 'name': 'Norsk'}]",Released,Three Days in April,The King's Choice,FALSE,6.6,14
10412,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",,tt0429078,zh,七劍,Seven warriors come together to protect a village from a diabolical General.,4.360738,/fbMVirC0QIlzxMJabtH8OqWFCtd.jpg,"[{'name': 'Boram Entertainment Inc.', 'id': 2965}, {'name': 'Film Workshop', 'id': 3618}, {'name': 'Mandarin Films Distribution Co.', 'id': 4054}, {'name': 'Beijing Ciwen Digital Oriental Film & TV Production Co.', 'id': 4617}, {'name': 'City Glory Pictures Ltd.', 'id': 5637}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'CN', 'name': 'China'}]",25/7/2005,0,153,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,,Seven Swords,FALSE,6,46
4990,"[{'id': 18, 'name': 'Drama'}]",,tt0075276,de,Stroszek,"Bruno Stroszek is released from prison and warned to stop drinking. He has few skills and fewer expectations: with a glockenspiel and an accordion, he ekes out a living as a street musician. He befriends Eva, a prostitute down on her luck and they join his neighbor, Scheitz, an elderly eccentric, when he leaves Germany to live in Wisconsin.",3.511224,/3AvIsic96J6c7GVz3XqfnRmHgVS.jpg,"[{'name': 'Werner Herzog Filmproduktion', 'id': 843}, {'name': 'Zweites Deutsches Fernsehen (ZDF)', 'id': 4606}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",12/1/1977,0,107,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Stroszek,FALSE,7,53
30400,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.thedivergentseries.movie/#allegiant,tt3410834,en,Allegiant,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,18.386172,/tSFBh9Ayn5uiwbUK9HvD2lrRgaQ.jpg,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Lionsgate', 'id': 1632}, {'name': 'Mandeville Films', 'id': 10227}, {'name': 'Red Wagon Entertainment', 'id': 14440}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/3/2016,179246868,121,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Break the boundaries of your world,Allegiant,FALSE,5.9,2064
42928,"[{'id': 9648, 'name': 'Mystery'}]",,tt3384180,en,The Man in 3B,"Daryl Graham (Lamman Rucker) has just moved into a Jamaica, Queens, apartment building and his neighbors, both male and female alike, can't stop talking about him. From his extreme attractiveness to his undeniable swag, Daryl is the man every woman wants and every man wants to be. Connie (Brely Evans), an unhappy wife, turns to Daryl for help losing weight, hoping to fix her marriage. But when Daryl starts making Connie feel beautiful again, she questions whether her marriage is worth saving. Benny (Robert Ri'chard), a spoiled teenager raised by a single father, looks up to Daryl. When an unexpected event occurs, Benny is left questioning everything he's ever known to be true. Krystal (Nafessa Williams), Daryl's first love, wants to make things work with her current boyfriend. Yet having Daryl back in her life sends her happy home spiraling out of control.",0.671717,/2nRfSkvXym62MnT7Z9sVteOjtcW.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/11/2015,0,93,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Man in 3B,FALSE,7,1
28643,"[{'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",,tt0039829,en,Singapore,"After the war, Matt Gordon returns to Singapore to retrieve a fortune in smuggled pearls. Arrived, he reminisces in flashback about his prewar fiancée, alluring Linda, and her disappearance during the Japanese attack. But now Linda resurfaces...with amnesia and married to rich planter Van Leyden. Meanwhile, sinister fence Mauribus schemes to get Matt's pearls.",0.272778,/jcfe8aspX1tlyERgyGDuNNyInzT.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",13/8/1947,0,79,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,She was back with him... as a stranger,Singapore,FALSE,5.9,4
14423,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,tt0042006,en,The Undercover Man,"Frank Warren is a treasury agent assigned to put an end to the activities of a powerful mob crime boss. The ""undercover"" agent poses as a criminal to seek out information but is frustrated when all he finds are terrified witnesses and corrupt police officers. Although most informants end up dead, Agent Warren gets critical information about the mob from an unlikely source.",0.390205,/y6UNQyWB5AreetZzSH1R3ntf8Le.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",21/3/1949,0,85,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,TOLD WITH THE SNARL OF A MACHINE GUN!,The Undercover Man,FALSE,6,5
20197,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,tt1921070,en,Pusher,"In London, a drug dealer grows increasingly desperate over the course of a week after a botched deal lands him in the merciless clutches of a ruthless crime lord. The more desperate his behavior, the more isolated he becomes until there is nothing left standing between him and the bullet his debtors intend to fire his way.",6.532164,/eyxU8zelPrDv03AGPYQ3k4TBLg.jpg,"[{'name': 'Vertigo Films', 'id': 10393}, {'name': 'Embargo Films', 'id': 22789}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",12/10/2012,0,86,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Never cross the line.,Pusher,FALSE,5.3,38
34091,"[{'id': 27, 'name': 'Horror'}]",,tt0049429,it,I vampiri,"A mad scientist captures young women and drains their blood, in order to keep alive an ancient, evil duchess.",0.750623,/x8syND1CE1Ue3bmBbPjj6sQjbjh.jpg,"[{'name': 'Titanus', 'id': 641}, {'name': 'Athena Cinematografica', 'id': 52537}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",5/4/1957,0,85,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Lust of the Vampire,FALSE,6.8,13
1923,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,tt0066811,en,The Barefoot Executive,"In the great Disney tradition of wild family fun, a young Kurt Russell stars as Steven Post - an ambitious mailroom clerk at a second-rate TV network. With his eye on the boardroom, and getting nowhere with the studio's top dog, he makes a career-changing discovery. His girlfriend's lovable pet chimp can pick a hit show every time! His secret for success turns into a madcap monkey business when he makes vice president and jealous rivals want in on the act. Ride along with narrow escapes and a classic cast featuring Joe Flynn and Harry Morgan in a comedic climb up the corporate ladder that will leave you howling for more!",0.914294,/AwnVbh6WV6l6Iy3esdy2qFbwgk2.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",17/3/1971,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Secret To Success Is Pure Monkey Business,The Barefoot Executive,FALSE,5.2,10
15017,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",,tt1250777,en,Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",17.26045,/yZFrniO6qSwjTCosStXweYtczGT.jpg,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'Marv Films', 'id': 5374}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",22/3/2010,96188903,117,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Shut up. Kick ass.,Kick-Ass,FALSE,7.1,4747
36214,"[{'id': 99, 'name': 'Documentary'}]",,tt1684609,en,Beware of Christians,Four college students travel to Europe to escape their routine faith and gain a radically new perspective on following Jesus.,0.009971,/qWudJjicUeUy5jjPY8XetEfGSfn.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'HU', 'name': 'Hungary'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}, {'iso_3166_1': 'HR', 'name': 'Croatia'}]",14/1/2011,0,94,"[{'iso_639_1': 'en', 'name': 'English'}]",Rumored,,Beware of Christians,FALSE,0,0
13656,"[{'id': 18, 'name': 'Drama'}]",,tt0484437,ro,Legături bolnăvicioase,"Love. It just happens. No rules. It may look sick, but it's deep and it hurts. For everyone, Alex and Kiki are just good friends. They happen to be two girls experiencing another kind of love. For their family, Kiki and Sandu are sister and brother who sometimes fight. They happen to be lovers. Love Sick is about their stories.",1.142721,/fUZipGJAhHwJhsPcGTtrCA3uhw6.jpg,"[{'name': 'Libra Film', 'id': 11191}, {'name': 'Multimedia Est', 'id': 13020}]","[{'iso_3166_1': 'RO', 'name': 'Romania'}, {'iso_3166_1': 'FR', 'name': 'France'}]",16/3/2006,0,86,"[{'iso_639_1': 'ro', 'name': 'Română'}]",Released,,Love Sick,FALSE,6.9,16
30330,[],,tt0025942,en,La verbena de la Paloma,A young printer's relationship with his girlfriend is in trouble after she accepts another suitor's invitation to the fair. This adaption of a popular operetta aims to please with a simple storyline and goofy slapstick.,0.06371,/1Tlq9drOfx4O7OSZ6wgAA7QYrVp.jpg,[],[],23/12/1935,0,78,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Fair of the Dove,FALSE,5,1
34312,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]",,tt0266260,hi,Arjun,"Mr. Malwankar lives a small tenement in Grant Road, Bombay, with his son, Arjun, daughter, Sudha, and wife, Rukmini, who is his second wife, as his first wife passed away. Although he is well past his retirement age, he continues to work for an abusive employer, Ashok. Arjun's attempts at seeking employment are all in vain. One day when hoodlums are beating up a man, he intervenes, beats the hoodlums up with the help of half of his friends. This is when his life changes forever. One of his friends', Mohan, is killed; Arjun finds out who the killers are, and kills them in broad daylight; he is arrested, and subsequently released, only to be told by his father that he is no longer welcome. A politician, Shiv Kumar Chougule, takes a liking to Arjun and employs him, and gives him all the support and assistance he needs to fight hoodlums. Arjun now finds he has a mission in life, and is quite content",0.000603,/w9hSDXa1YraOu9Nvt59BPzLGYsI.jpg,[],"[{'iso_3166_1': 'IN', 'name': 'India'}]",20/4/1985,0,0,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Arjun,FALSE,5.3,3
32310,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,tt1705126,en,Nesting,"When a thirty-something couple set aside the home furnishings catalogue and decide to rekindle their relationship, they return to their old neighborhood and end up squatting illegally in their twenty-something lives.",0.185579,/5IM1iDyJic6KeoC67fsm9zNWpDO.jpg,[],[],11/5/2012,0,93,[],Released,Some couples break up... They broke in.,Nesting,FALSE,4.5,5
20657,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,tt1780983,en,Assassin's Bullet,"In Assassin's Bullet, Slater plays Robert Diggs, a black ops agent who comes to work for Ambassador Ashdown (Hunger Games star Donald Sutherland), tracking down a vigilante assassin in Eastern Europe. The maverick hit(wo)man has been taking out high-profile targets on the U.S. hit list, and Diggs must uncover the killer's identity before there's an international incident. The usual game of cat and mouse ensues.",2.269177,/c3ZacVy5OmFFTjDinpl9Px6xzTg.jpg,"[{'name': 'Mutressa Movies', 'id': 23318}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/8/2012,0,91,"[{'iso_639_1': 'bg', 'name': 'български език'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pl', 'name': 'Polski'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,Assassin's Bullet,FALSE,3.3,25
35038,"[{'id': 18, 'name': 'Drama'}]",,tt0187579,fr,Le Vent de la nuit,A housewife's (Catherine Deneuve) affair with a younger man (Xavier Beauvois) goes nowhere.,0.203538,/2Oo9okyEaCW9vwZEEoNAv1KjpQa.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",3/3/1999,0,95,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Night Wind,FALSE,6,4
36232,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 10402, 'name': 'Music'}]",http://www.fox.com/grease-live,tt4366830,en,Grease Live,"After enjoying a holiday romance, high school students Danny and Sandy are unexpectedly reunited when she transfers to Rydell High, where she must contend with cynical Rizzo and the Pink Ladies.",4.456394,/fYI1j8OvxzZdGJy8NWiVWjueDcF.jpg,"[{'name': 'Paramount Television', 'id': 9223}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",31/1/2016,0,180,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,An electrifying LIVE television event!,Grease Live,FALSE,7.4,112
6291,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,tt0048966,en,Attack,"At the end of World War II, a National Guard infantry company must set up artillery observation posts in a strategic area. Lt. Costa (Jack Palance) knows that Capt. Cooney (Eddie Albert) is in command only because of the ""connections"" he made stateside. Costa has serious doubts concerning Cooney's ability to lead, and when Cooney sends Costa and his men out on a dangerous mission -- and refuses to reenforce them -- all hell breaks loose.",2.155549,/cQuo7EfeNR5kGWEl7UokTcPt0pC.jpg,"[{'name': 'The Associates & Aldrich Company', 'id': 2595}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",19/9/1956,0,107,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,"The Story of the ""Fragile Fox"" Company!",Attack,FALSE,6.8,24
19411,"[{'id': 99, 'name': 'Documentary'}]",http://www.aiweiweifilm.org/,tt1845773,en,Ai Weiwei: Never Sorry,"Ai Weiwei is known for many things – great architecture, subversive in-your-face art, and political activism. He has also called for greater transparency on the part of the Chinese state. Director Alison Klayman chronicles the complexities of Ai’s life for three years, beginning with his rise to public prominence via blog and Twitter after he questioned the deaths of more than 5,000 students in the 2008 Sichuan earthquake. The record continues through his widely publicized arrest in Beijing in April of 2011. As Ai prepares various works of art for major international exhibitions, his activism heats up, and his run-ins with China’s authorities become more and more frequent.",2.643111,/i9nvuwAPr7OZ3k8muFawpMHL8Xa.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",14/6/2012,181107,91,"[{'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Can an artist change China?,Ai Weiwei: Never Sorry,FALSE,7.1,32
34629,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,tt0042824,en,Outrage,A young woman who has just become engaged has her life completely shattered when she is raped while on her way home from work.,1.057905,/vVQC4C0aNAxgoBsVMyqYtpKrKoB.jpg,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",27/9/1950,0,75,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Is any girl safe?,Outrage,FALSE,6.5,6
6797,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",http://www.tupac-resurrection.com/,tt0343121,en,Tupac: Resurrection,"Home movies, photographs, and recited poetry illustrate the life of Tupac Shakur, one of the most beloved, revolutionary, and volatile hip-hop MCs of all time.",2.409278,/e8HGKa3xN35yVsBEHfvVS8ywiPb.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'MTV Films', 'id': 746}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",23/1/2003,7808524,112,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,In his own words,Tupac: Resurrection,FALSE,8,26
14861,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,tt1220220,en,Motherhood,"Motherhood is a comedy written and directed by Katherine Dieckmann, and stars Uma Thurman, Anthony Edwards and Minnie Driver. Shot on location in New York’s West Village, focuses on the dilemmas of motherhood, such as marriage, work, and self, shown in the trials and tribulations of one pivotal day.",8.42093,/s2I7Wj31jitBwSgk61Nfag6MPK4.jpg,"[{'name': 'John Wells Productions', 'id': 1512}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",21/1/2009,0,90,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Motherhood,FALSE,4.8,45
39317,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,tt0325713,de,Lautlos,No overview found.,1.423762,/6YnDqZC52xDyrIf12Dzi0AckYPk.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",22/4/2004,0,94,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Soundless,FALSE,6.5,9
19860,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",http://www.theperfectfamilymovie.com/,tt1650058,en,The Perfect Family,"Kathleen Turner stars as suburban mother and devout Catholic Eileen Cleary, who has always kept up appearances. When she runs for the Catholic Woman of the Year title at her local parish, her final test is introducing her family to the board for the seal of approval. Now she must finally face the nonconformist family she has been glossing over for years...",6.078336,/e2wLYQyBlaoRhm7ExCXdAi6mp6W.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",30/4/2011,0,84,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Perfect Family,FALSE,4.7,7
33095,[],,tt1654082,es,Un mundo cuadrado,A lost village. A rock band. A murder in the woods. The world is about to change.,0.495184,/pgJQxb4xQCz06B6vo78ktYIfvPA.jpg,[],[],19/10/2012,0,92,[],Released,,Un mundo cuadrado,FALSE,6,1
13527,"[{'id': 53, 'name': 'Thriller'}]",,tt0825239,fr,Contre-Enquête,A cop investigates whether the man convicted of murdering his daughter is really guilty.,4.787284,/lWUlSGrfcH81rrERPBmWFEHpKME.jpg,"[{'name': 'Pathé Renn Productions', 'id': 866}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",7/3/2007,0,85,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Counter Investigation,FALSE,7,69
6423,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,tt0286947,en,Scorched,"Three bank tellers. One goal: knock the place over. The ultimate inside jobs, plotted by three people with nothing to lose.",4.163428,/6RXZERI71eJrRdLh96wpESK1rNf.jpg,"[{'name': 'Code Entertainment', 'id': 14589}, {'name': 'Eclipse Catering', 'id': 23787}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",17/5/2003,0,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,How many tellers does it take to rob a bank?,Scorched,FALSE,5.4,33
13747,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,tt0443559,en,Killshot,"Beautiful Carmen Colson and her ironworker husband Wayne are placed in the Federal Witness Protection program after witnessing an ""incident"". Thinking they are at last safe, they are targeted by an experienced hit man and a psychopathic young upstart killer.",4.475472,/kKMRtiCoR9O6OpjVBNldSIg6EAr.jpg,"[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'FilmColony', 'id': 1811}, {'name': 'Lawrence Bender Productions', 'id': 2253}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",13/11/2008,2960993,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He never met a target he couldn't take. Until today.,Killshot,FALSE,5.9,80
20218,"[{'id': 27, 'name': 'Horror'}]",,tt0093465,en,Mad Ron's Prevues from Hell,Deranged projectionist Mad Ron shows a movie theater full of rowdy zombies a diverse assortment of horror and exploitation film trailers from his private collection while ventriloquist Nick Pawlow and his foul-mouthed zombie dummy Happy Goldsplatt provide lowbrow comic relief.,0.02158,/iZ9O3mDirmTVP7QpRi4JyivUFJy.jpg,[],[],1/1/1987,0,83,[],Released,,Mad Ron's Prevues from Hell,FALSE,4.1,5
38544,"[{'id': 99, 'name': 'Documentary'}]",,tt1358885,en,Soundtrack for a Revolution,"Tells the story of the American civil rights movement through its powerful music - the freedom songs protesters sang on picket lines, in mass meetings, and in jail cells as they fought for justice and equality. Features new performances of the freedom songs by top artists; archival footage; and interviews with civil rights foot soldiers and leaders. Freedom songs evolved from slave chants, from the labor movement, and especially from the black church. Music enabled blacks to sing words they could not say, and it was crucial in helping the protesters as they faced down brutal aggression with dignity and non-violence. The infectious energy of the songs swept people up and empowered them to fight for their rights. This film celebrates the vitality of this music.",0.056028,/hAMDJmH6RXVPQm5LUl5pODkpE86.jpg,[],[],1/1/2009,0,82,[],Released,,Soundtrack for a Revolution,FALSE,8,1
38114,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,tt4201844,en,Come Down Molly,"New mother Molly (Eléonore Hendricks) is overcome with the need to run away. Feeling abandoned by her husband and unable to connect with her infant son, she takes up an invitation from her old high school group of guy friends to go on a weekend trip to the mountains. Without the pressure of daily responsibilities and with the help of psychoactive mushrooms, Molly comes out of her shell and is ready to accept the beauty and love that can be found in nature. When Molly's “trip” turns into a dark out-of-body experience she is forced to choose between the person she was and the person she's become.",0.333745,/wj6R2xZ2RsXADtkDEDoHRlqSqNr.jpg,[],[],16/4/2015,0,81,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Come Down Molly,FALSE,0,0
37013,[],,tt0275256,en,Chermeni,"This historic drama is set in an Ossetian village in the 17th century. The film’s main hero is Chermen. An illegitimate son, Chermen is striving to assert his dignity. He is opposed by Dacco, the elder of the Aldar clan, in whose village Chermen lives. Guided by mercenary motives, Dacco strikes a deal with Prince Tsarai. Together, they rob people and then divide the loot between themselves. By some chance, Chermen learns of the deal and informs his friends about it. At first, he thinks that no one in the Aldar village would believe him, the bastard, and that the plot would remain unexposed. But the friends accept the challenge.",0.25,/pg95f9hiJYcAKKdkfKR5vEFrlV4.jpg,[],[],1/1/1970,0,0,[],Released,,Chermeni,FALSE,0,0
2867,"[{'id': 53, 'name': 'Thriller'}]",,tt0059319,en,The Ipcress File,"This espionage thriller represents a landmark in spy movies introducing the sly, dry intelligence agent Harry Palmer. The story, centers on Palmer's investigation into British Intelligence security. He's soon enmeshed in a world of double-dealing, kidnap and murder and finds a traitor is operating at the heart of the secret service. Will the mysterious 'Ipcress File' reveal who the traitor is?",7.336578,/8LSeZyyiqLb8UTBAJfSx69pVEZp.jpg,"[{'name': 'The Rank Organisation', 'id': 364}, {'name': 'Lowndes Productions Limited', 'id': 1802}, {'name': 'Steven S.A.', 'id': 14376}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",18/3/1965,0,109,"[{'iso_639_1': 'sq', 'name': 'shqip'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,The spy story of the century.,The Ipcress File,FALSE,6.8,84
2806,"[{'id': 37, 'name': 'Western'}]",,tt0061747,en,Hang 'em High,"Marshall Jed Cooper survives a hanging, vowing revenge on the lynch mob that left him dangling. To carry out his oath for vengeance, he returns to his former job as a lawman. Before long, he's caught up with the nine men on his hit list and starts dispensing his own brand of Wild West justice.",7.266576,/qnOknsL20MuvQfQDtG7zWTmPB4o.jpg,"[{'name': 'United Artists', 'id': 60}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",31/7/1968,6800000,114,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The hanging was the best show in town. But they made two mistakes. They hung the wrong man and they didn't finish the job!,Hang 'em High,FALSE,6.7,197
40494,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,tt0290498,en,By Hook or by Crook,"Shy, a small-town butch with a nagging messiah complex, heads to the big city to immerse herself in a life of crime. On her journey, she meets her match in Valentine, a wise-acre adoptee who is searching for her birth-mother. The two lonely grifters join forces and embark on a journey through the skid-row streets of San Francisco and learn the true meaning of poise under pressure and the importance of friendship.",0.05154,/vOQKaIjZNtFgfufa1gK7BvQK2M6.jpg,[],[],17/6/2001,0,98,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,By Hook or by Crook,FALSE,5,1
